,game_id,away_team_id,home_team_id,away_team_name,home_team_name,away_score,home_score
1241,2022021244,30,5,Minnesota Wild,Pittsburgh Penguins,1,4
1242,2022021245,9,13,Ottawa Senators,Florida Panthers,2,7
1243,2022021246,10,6,Toronto Maple Leafs,Boston Bruins,1,2
1244,2022021247,15,8,Washington Capitals,Montréal Canadiens,2,6
1245,2022021248,7,17,Buffalo Sabres,Detroit Red Wings,7,6
1246,2022021249,14,2,Tampa Bay Lightning,New York Islanders,1,6
1247,2022021250,12,18,Carolina Hurricanes,Nashville Predators,0,3
1248,2022021251,3,19,New York Rangers,St. Louis Blues,2,3
1249,2022021252,4,25,Philadelphia Flyers,Dallas Stars,1,4
1250,2022021254,16,23,Chicago Blackhawks,Vancouver Canucks,0,3
1251,2022021255,26,54,Los Angeles Kings,Vegas Golden Knights,2,5
1252,2022021253,53,55,Arizona Coyotes,Seattle Kraken,2,4
1253,2022021256,21,28,Colorado Avalanche,San Jose Sharks,6,2
1254,2022021257,12,7,Carolina Hurricanes,Buffalo Sabres,3,4
1255,2022021266,5,17,Pittsburgh Penguins,Detroit Red Wings,5,1
1256,2022021269,54,25,Vegas Golden Knights,Dallas Stars,1,2
1257,2022021259,22,28,Edmonton Oilers,San Jose Sharks,6,1
1258,2022021260,24,53,Anaheim Ducks,Arizona Coyotes,4,5
1259,2022021261,13,15,Florida Panthers,Washington Capitals,4,2
1260,2022021262,8,10,Montréal Canadiens,Toronto Maple Leafs,1,7
1261,2022021263,3,29,New York Rangers,Columbus Blue Jackets,4,0
1262,2022021264,18,52,Nashville Predators,Winnipeg Jets,0,2
1263,2022021267,14,9,Tampa Bay Lightning,Ottawa Senators,4,7
1264,2022021268,4,2,Philadelphia Flyers,New York Islanders,0,4
1265,2022021258,19,30,St. Louis Blues,Minnesota Wild,3,5
1266,2022021265,1,6,New Jersey Devils,Boston Bruins,1,2
1267,2022021270,20,23,Calgary Flames,Vancouver Canucks,2,3
1268,2022021271,16,55,Chicago Blackhawks,Seattle Kraken,3,7
1269,2022021272,21,26,Colorado Avalanche,Los Angeles Kings,4,3
1270,2022021273,6,4,Boston Bruins,Philadelphia Flyers,5,3
1271,2022021274,21,24,Colorado Avalanche,Anaheim Ducks,5,4
1272,2022021275,7,3,Buffalo Sabres,New York Rangers,3,2
1273,2022021276,12,9,Carolina Hurricanes,Ottawa Senators,2,3
1274,2022021277,2,15,New York Islanders,Washington Capitals,2,5
1275,2022021278,28,52,San Jose Sharks,Winnipeg Jets,2,6
1276,2022021279,10,13,Toronto Maple Leafs,Florida Panthers,2,1
1277,2022021280,25,17,Dallas Stars,Detroit Red Wings,6,1
1278,2022021281,30,16,Minnesota Wild,Chicago Blackhawks,4,2
1279,2022021282,18,20,Nashville Predators,Calgary Flames,3,2
1280,2022021283,55,53,Seattle Kraken,Arizona Coyotes,4,1
1281,2022021284,23,26,Vancouver Canucks,Los Angeles Kings,0,3
1282,2022021285,7,1,Buffalo Sabres,New Jersey Devils,2,6
1283,2022021287,29,4,Columbus Blue Jackets,Philadelphia Flyers,3,4
1284,2022021288,17,12,Detroit Red Wings,Carolina Hurricanes,1,4
1285,2022021289,10,14,Toronto Maple Leafs,Tampa Bay Lightning,4,3
1286,2022021290,15,6,Washington Capitals,Boston Bruins,2,5
1287,2022021286,16,5,Chicago Blackhawks,Pittsburgh Penguins,5,2
1288,2022021291,52,30,Winnipeg Jets,Minnesota Wild,3,1
1289,2022021292,22,21,Edmonton Oilers,Colorado Avalanche,2,1
1290,2022021293,55,54,Seattle Kraken,Vegas Golden Knights,1,4
1291,2022021294,23,24,Vancouver Canucks,Anaheim Ducks,3,2
1292,2022021295,8,2,Montréal Canadiens,New York Islanders,2,4
1293,2022021296,25,19,Dallas Stars,St. Louis Blues,5,2
1294,2022021297,28,20,San Jose Sharks,Calgary Flames,1,3
1295,2022021298,6,8,Boston Bruins,Montréal Canadiens,5,4
1296,2022021299,12,13,Carolina Hurricanes,Florida Panthers,6,4
1297,2022021300,17,14,Detroit Red Wings,Tampa Bay Lightning,0,5
1298,2022021301,1,15,New Jersey Devils,Washington Capitals,5,4
1299,2022021302,9,7,Ottawa Senators,Buffalo Sabres,3,4
1300,2022021303,5,29,Pittsburgh Penguins,Columbus Blue Jackets,2,3
1301,2022021304,10,3,Toronto Maple Leafs,New York Rangers,3,2
1302,2022021305,30,18,Minnesota Wild,Nashville Predators,3,4
1303,2022021307,19,25,St. Louis Blues,Dallas Stars,0,1
1304,2022021309,52,21,Winnipeg Jets,Colorado Avalanche,2,4
1305,2022021306,4,16,Philadelphia Flyers,Chicago Blackhawks,5,4
1306,2022021308,28,22,San Jose Sharks,Edmonton Oilers,2,5
